movieId,title,genres_str,language_str,popularity,primary_language,year,genres_list,original_language,spoken_languages,movie_enc,content_text
5,Four Rooms,Crime|Comedy,en,9.026586,English,,"['Crime', 'Comedy']",,,0,Crime Comedy English English English
11,Star Wars,Adventure|Action|Science Fiction,en,42.149697,English,,"['Adventure', 'Action', 'Science Fiction']",,,1,Adventure Action Science Fiction English English English
12,Finding Nemo,Animation|Family,en,25.497794,English,,"['Animation', 'Family']",,,2,Animation Family English English English
13,Forrest Gump,Comedy|Drama|Romance,en,48.307194,English,,"['Comedy', 'Drama', 'Romance']",,,3,Comedy Drama Romance English English English
14,American Beauty,Drama,en,20.726578,English,,['Drama'],,,4,Drama English English English
15,Citizen Kane,Mystery|Drama,en,15.811921,English,,"['Mystery', 'Drama']",,,5,Mystery Drama English English English
16,Dancer in the Dark,Drama|Crime|Music,en,10.684806,English,,"['Drama', 'Crime', 'Music']",,,6,Drama Crime Music English English English
18,The Fifth Element,Adventure|Fantasy|Action|Thriller|Science Fiction,en|sv|de,24.30526,English,,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",,,7,Adventure Fantasy Action Thriller Science Fiction English English English
20,My Life Without Me,Drama|Romance,en,10.310508,English,,"['Drama', 'Romance']",,,8,Drama Romance English English English
22,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure|Fantasy|Action,en,47.326665,English,,"['Adventure', 'Fantasy', 'Action']",,,9,Adventure Fantasy Action English English English
24,Kill Bill: Vol. 1,Action|Crime,en|ja|fr,25.261865,English,,"['Action', 'Crime']",,,10,Action Crime English English English
25,Jarhead,Drama|War,en|es|ar|la,9.997032,English,,"['Drama', 'War']",,,11,Drama War English English English
27,9 Songs,Drama|Music|Romance,en,18.847707,English,,"['Drama', 'Music', 'Romance']",,,12,Drama Music Romance English English English
28,Apocalypse Now,Drama|War,km|en|fr|vi,13.5963,KM,,"['Drama', 'War']",,,13,Drama War KM KM KM
33,Unforgiven,Western,en,10.942149,English,,['Western'],,,14,Western English English English
35,The Simpsons Movie,Animation|Comedy|Family,en,14.302911,English,,"['Animation', 'Comedy', 'Family']",,,15,Animation Comedy Family English English English
38,Eternal Sunshine of the Spotless Mind,Science Fiction|Drama|Romance,en,12.906327,English,,"['Science Fiction', 'Drama', 'Romance']",,,16,Science Fiction Drama Romance English English English
58,Pirates of the Caribbean: Dead Man's Chest,Adventure|Fantasy|Action,en|tr|el|zh,29.455314,English,,"['Adventure', 'Fantasy', 'Action']",,,17,Adventure Fantasy Action English English English
59,A History of Violence,Drama|Thriller|Crime,en,11.119707,English,,"['Drama', 'Thriller', 'Crime']",,,18,Drama Thriller Crime English English English
62,2001: A Space Odyssey,Science Fiction|Mystery|Adventure,en|ru,22.494622,English,,"['Science Fiction', 'Mystery', 'Adventure']",,,19,Science Fiction Mystery Adventure English English English
63,Twelve Monkeys,Science Fiction|Thriller|Mystery,en|fr,12.297305,English,,"['Science Fiction', 'Thriller', 'Mystery']",,,20,Science Fiction Thriller Mystery English English English
65,8 Mile,Drama,en,8.374355,English,,['Drama'],,,21,Drama English English English
68,Brazil,Comedy|Science Fiction,en,9.837287,English,,"['Comedy', 'Science Fiction']",,,22,Comedy Science Fiction English English English
69,Walk the Line,Drama|Music|Romance,en|ru,11.476443,English,,"['Drama', 'Music', 'Romance']",,,23,Drama Music Romance English English English
