title,primary_language,year,genres_str,movieId,genres_list
Aftershock,English,2012,"Horror, Thriller",123103,"['Horror', 'Thriller']"
The Disappearance of Eleanor Rigby: Her,English,2014,Drama,275060,['Drama']
Beowulf,English,2007,"Adventure, Action, Animation",2310,"['Adventure', 'Action', 'Animation']"
13,English,2010,"Drama, Thriller",44982,"['Drama', 'Thriller']"
Wildlike,English,2014,"Adventure, Drama, Thriller",300654,"['Adventure', 'Drama', 'Thriller']"
13 Sins,English,2014,"Horror, Thriller",155084,"['Horror', 'Thriller']"
X-Men: Apocalypse,English,2016,Science Fiction,246655,['Science Fiction']
Reign Over Me,English,2007,Drama,2355,['Drama']
The Bag Man,English,2014,"Crime, Drama, Thriller",242076,"['Crime', 'Drama', 'Thriller']"
The Grudge,English,2004,"Horror, Mystery, Thriller",1970,"['Horror', 'Mystery', 'Thriller']"
Here Comes the Boom,English,2012,Comedy,87826,['Comedy']
Paddington,English,2014,"Family, Comedy",116149,"['Family', 'Comedy']"
The Best Exotic Marigold Hotel,English,2011,"Drama, Comedy",74534,"['Drama', 'Comedy']"
Carlito's Way: Rise to Power,English,2005,"Action, Adventure, Drama, Thriller",12261,"['Action', 'Adventure', 'Drama', 'Thriller']"
You May Not Kiss the Bride,English,2011,"Action, Crime, Comedy, Romance",73500,"['Action', 'Crime', 'Comedy', 'Romance']"
Life on the Line,English,2015,"Action, Drama",398289,"['Action', 'Drama']"
Turbo,English,2013,"Animation, Family",77950,"['Animation', 'Family']"
RoboCop,English,2014,"Action, Science Fiction",97020,"['Action', 'Science Fiction']"
Unfinished Business,English,2015,Comedy,239573,['Comedy']
Dirty Dancing,English,2017,"Music, Drama, Romance, TV Movie",444902,"['Music', 'Drama', 'Romance', 'TV Movie']"
The Pianist,English,2002,"Drama, War",423,"['Drama', 'War']"
Age of Dinosaurs,English,2013,"Action, Science Fiction",192813,"['Action', 'Science Fiction']"
Brooklyn,English,2015,"Drama, Romance",167073,"['Drama', 'Romance']"
Trolls,English,2016,"Adventure, Animation, Family",136799,"['Adventure', 'Animation', 'Family']"
Invincible,English,2006,Drama,11652,['Drama']
Filth,English,2013,"Crime, Drama, Comedy",85889,"['Crime', 'Drama', 'Comedy']"
I'm Not There.,English,2007,"Drama, Music",3902,"['Drama', 'Music']"
Where the Wild Things Are,English,2009,"Family, Fantasy",16523,"['Family', 'Fantasy']"
Blue Jasmine,English,2013,"Comedy, Drama",160588,"['Comedy', 'Drama']"
Creep,English,2014,"Thriller, Horror",250574,"['Thriller', 'Horror']"
Pirates of the Caribbean: At World's End,English,2007,"Adventure, Fantasy, Action",285,"['Adventure', 'Fantasy', 'Action']"
Minority Report,English,2002,"Action, Thriller, Science Fiction, Mystery",180,"['Action', 'Thriller', 'Science Fiction', 'Mystery']"
Lymelife,English,2008,"Comedy, Drama",22152,"['Comedy', 'Drama']"
5 Flights Up,English,2014,Drama,286521,['Drama']
The Hunter's Prayer,English,2017,"Action, Thriller",302150,"['Action', 'Thriller']"
Dean Spanley,English,2008,"Comedy, Drama",18117,"['Comedy', 'Drama']"
Avengers: Age of Ultron,English,2015,"Action, Adventure, Science Fiction",99861,"['Action', 'Adventure', 'Science Fiction']"
I Could Never Be Your Woman,English,2007,"Comedy, Drama, Romance",15019,"['Comedy', 'Drama', 'Romance']"
Slipstream,English,2007,"Fantasy, Comedy, Drama",18633,"['Fantasy', 'Comedy', 'Drama']"
Gone Girl,English,2014,"Mystery, Thriller, Drama",210577,"['Mystery', 'Thriller', 'Drama']"
